Date,Close,High,Low,Open,Volume
,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2023-01-02,302.1187438964844,303.16256154744883,299.21418132862,300.34877175357303,5951893
2023-01-03,300.53033447265625,302.57259735425845,299.7588073996139,300.89339788939293,5997051
2023-01-04,296.808837890625,301.8010354698251,295.9011656034977,301.2110540231843,6689769
2023-01-05,302.6633605957031,303.0717965391748,297.89808068879796,298.3065166322696,8171437
2023-01-06,304.11566162109375,306.38484288285383,302.3457168569009,303.79799840442064,8284135
2023-01-09,306.838623046875,309.78855814793195,305.1140511431725,305.8402056341788,10618786
2023-01-10,302.617919921875,307.15628113156106,301.8463929762367,306.7024450105925,6949605
2023-01-11,301.1656494140625,304.1609845380477,300.7118132770913,304.1609845380477,4584293
2023-01-12,299.3957214355469,302.79949264854775,297.80729486947985,302.61794710386994,6638422
2023-01-13,298.39727783203125,301.57413098005287,296.2642423212245,299.39572293283027,14412671
2023-01-16,299.71337890625,301.5287233509882,297.3080253570056,299.84952419961377,8253942
2023-01-17,301.5741882324219,302.708778857826,298.7150253963967,299.71347068674567,13712537
2023-01-18,303.7525634765625,305.4771354985942,301.7103005741652,303.16258195586266,12555527
2023-01-19,301.48333740234375,304.6601903311355,301.0295012696592,303.16253663326836,8346130
2023-01-20,303.7071838378906,304.25179280579334,298.8511310656991,301.3472301102874,13103664
2023-01-23,306.56634521484375,306.92940862551274,302.3002739645855,304.9779185556995,7124807
2023-01-24,307.65557861328125,309.28937789340756,306.4302153032045,306.6117331676829,12302874
2023-01-25,307.9278259277344,309.51625244320536,304.29713674951495,307.6101350846481,12497542
2023-01-27,314.0545959472656,316.64146737873045,309.9700708554659,310.24236144826915,21040139
2023-01-30,312.9654235839844,319.27375766546186,310.28780669973133,314.87154111003935,14091519
2023-01-31,319.8183898925781,322.2237163194771,309.5616746967963,314.0546643564481,17134291
2023-02-01,328.03277587890625,331.9357835340277,298.7149705786185,320.4083338153602,64518967
2023-02-02,343.644775390625,349.18158255789933,327.125126668586,328.21434462606936,55745171
2023-02-03,345.5054626464844,346.95774389670476,337.6541026280554,346.64005304510016,22295321
2023-02-06,348.0015869140625,352.3584309826043,344.5524429306011,347.18468730744934,25790153
2023-02-07,338.7886962890625,348.455401038363,334.431880196408,348.455401038363,20643707
2023-02-08,340.8763122558594,342.464738739251,337.2456231509642,340.1501855148642,10420462
2023-02-09,339.6963806152344,344.91549668347113,337.79026311988594,339.46946252531103,11861196
2023-02-10,337.06414794921875,342.14711887898295,336.1110753186587,337.8356750215874,10278597
2023-02-13,339.6510009765625,340.5132730802674,335.8387660655634,338.5617830877166,9901148
2023-02-14,350.7699890136719,351.8591792083421,339.2425391453373,340.3771295772615,29125052
