,Date,Close,High,Low,Open,Volume
0,2025-03-03,283.54998779296875,286.3500061035156,279.29998779296875,279.45001220703125,11471554
1,2025-03-04,280.0,283.1000061035156,276.29998779296875,279.0,9331785
2,2025-03-05,285.1000061035156,286.95001220703125,278.6499938964844,281.3999938964844,10285712
3,2025-03-06,285.8999938964844,292.0,283.5,288.45001220703125,9782051
4,2025-03-07,284.79998779296875,287.70001220703125,282.8999938964844,287.3999938964844,8097300
5,2025-03-10,280.8999938964844,285.6499938964844,277.95001220703125,284.45001220703125,8165123
6,2025-03-11,277.75,279.29998779296875,273.20001220703125,277.0,8602609
7,2025-03-12,268.54998779296875,277.70001220703125,262.20001220703125,277.70001220703125,18584311
8,2025-03-13,264.0,271.1000061035156,263.3500061035156,268.54998779296875,8683943
9,2025-03-17,259.8500061035156,265.20001220703125,258.8999938964844,264.0,12697926
10,2025-03-18,259.8500061035156,259.8500061035156,259.8500061035156,259.8500061035156,0
11,2025-03-19,265.70001220703125,266.5,256.25,262.0,14044300
12,2025-03-20,268.0,273.95001220703125,267.5,269.20001220703125,17038774
13,2025-03-21,264.29998779296875,269.54998779296875,260.20001220703125,264.0,22659168
14,2025-03-24,269.3999938964844,271.6499938964844,265.3999938964844,267.04998779296875,9269617
15,2025-03-25,271.0,274.70001220703125,269.3500061035156,272.0,12563930
16,2025-03-26,267.3999938964844,272.25,266.75,272.0,7308412
17,2025-03-27,272.20001220703125,273.54998779296875,269.6000061035156,270.0,14783522
18,2025-03-28,262.25,271.8500061035156,261.6000061035156,271.0,14283389
19,2025-04-01,262.6000061035156,263.0,258.5,260.3500061035156,8388635
20,2025-04-02,263.6000061035156,265.54998779296875,261.1000061035156,262.79998779296875,7136992
21,2025-04-03,256.3500061035156,260.5,255.3000030517578,259.8999938964844,12262561
22,2025-04-04,246.3000030517578,253.9499969482422,244.85000610351562,253.0,14639785
23,2025-04-07,242.89999389648438,243.85000610351562,228.0,231.0500030517578,13011904
24,2025-04-08,247.25,249.5,243.85000610351562,244.75,13806651
25,2025-04-09,236.64999389648438,242.3000030517578,234.0,240.6999969482422,19063559
26,2025-04-11,239.75,245.0,238.35000610351562,245.0,11205821
27,2025-04-15,244.0,245.0500030517578,241.35000610351562,245.0500030517578,10694621
28,2025-04-16,247.64999389648438,248.4499969482422,241.1999969482422,244.0,16203319
29,2025-04-17,236.89999389648438,237.8000030517578,232.14999389648438,235.0,54875421
30,2025-04-21,238.4499969482422,240.8000030517578,237.39999389648438,237.39999389648438,16298364
31,2025-04-22,234.14999389648438,239.0,233.5,238.4499969482422,18367713
32,2025-04-23,243.60000610351562,245.35000610351562,236.10000610351562,237.1999969482422,31898042
33,2025-04-24,242.75,245.14999389648438,241.5,244.8000030517578,23000820
34,2025-04-25,240.89999389648438,246.14999389648438,238.0500030517578,243.9499969482422,16620430
35,2025-04-28,240.5,241.9499969482422,238.75,240.5,14218414
36,2025-04-29,241.39999389648438,243.60000610351562,239.85000610351562,241.60000610351562,16647246
37,2025-04-30,241.5,243.39999389648438,239.1999969482422,241.5500030517578,14206640
38,2025-05-02,241.67999267578125,245.8000030517578,240.75,242.0399932861328,10822257
39,2025-05-05,243.57000732421875,246.8699951171875,242.6999969482422,244.0,12170446
40,2025-05-06,241.19000244140625,245.89999389648438,240.61000061035156,244.5,8869045
41,2025-05-07,244.0399932861328,244.4499969482422,236.00999450683594,236.00999450683594,9130056
42,2025-05-08,241.57000732421875,245.8300018310547,239.30999755859375,243.11000061035156,11434833
43,2025-05-09,242.00999450683594,242.9499969482422,236.5,236.60000610351562,10582438
44,2025-05-12,257.2799987792969,257.94000244140625,244.8800048828125,245.08999633789062,19791711
45,2025-05-13,251.57000732421875,256.95001220703125,250.6199951171875,256.95001220703125,11714159
46,2025-05-14,252.94000244140625,253.69000244140625,250.75,251.57000732421875,8839105
47,2025-05-15,256.57000732421875,257.1000061035156,250.6199951171875,253.1999969482422,12083645
48,2025-05-16,254.30999755859375,257.0,253.52999877929688,257.0,6640387
49,2025-05-19,251.75,254.74000549316406,251.27999877929688,254.30999755859375,6788784
50,2025-05-20,249.7100067138672,254.60000610351562,249.30999755859375,253.0,9366429
51,2025-05-21,250.9199981689453,252.11000061035156,248.10000610351562,249.7100067138672,5313593
52,2025-05-22,245.94000244140625,249.88999938964844,245.0,249.0,11469037
53,2025-05-23,247.36000061035156,250.49000549316406,245.60000610351562,246.10000610351562,7437642
54,2025-05-26,250.24000549316406,250.85000610351562,248.1999969482422,248.49000549316406,3690751
55,2025-05-27,248.25,250.99000549316406,247.99000549316406,250.99000549316406,6861143
56,2025-05-28,247.42999267578125,250.13999938964844,246.9600067138672,249.58999633789062,6205160
57,2025-05-29,250.13999938964844,251.74000549316406,248.10000610351562,249.64999389648438,11785042
58,2025-05-30,249.6699981689453,251.11000061035156,248.52000427246094,250.0,13858429
59,2025-06-02,247.67999267578125,248.4199981689453,246.1999969482422,247.60000610351562,5846259
60,2025-06-03,246.22000122070312,249.5,245.72999572753906,248.0,8573438
61,2025-06-04,246.86000061035156,249.80999755859375,246.50999450683594,246.50999450683594,6698150
62,2025-06-05,247.94000244140625,249.49000549316406,246.8800048828125,246.89999389648438,6468060
63,2025-06-06,248.58999633789062,249.97999572753906,247.10000610351562,247.10000610351562,4445411
64,2025-06-09,251.2899932861328,253.39999389648438,249.22000122070312,249.60000610351562,9193904
65,2025-06-10,254.8699951171875,255.8000030517578,251.8300018310547,252.89999389648438,10739851
66,2025-06-11,258.9200134277344,261.6000061035156,254.10000610351562,256.0199890136719,17268454
67,2025-06-12,259.6099853515625,263.0,256.32000732421875,260.0,14528657
68,2025-06-13,260.2099914550781,262.25,254.0,255.0,8692116
